Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Reported Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Covered Emissions (MT CO2e),CCA Status,Georeferenced Location
Northwest Hardwoods Inc. - Centralia,2022,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,12065,7893,4063,17,93,0,0,0,0,,1,"46.734454, -122.991963",,,POINT (-122.991963 46.734454)
Seattle-Tacoma International Airport - Seattle,2021,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,14978,0,14963,7,9,0,0,0,0,,1,"47.443643, -122.302452",,,POINT (-122.302452 47.443643)
Avista Corporation - supplier,2018,Supplier,Natural Gas Supplier,,,Avista Corporation,Spokane,Spokane,,1044525,0,1043447,492,586,0,0,0,0,,,,,,
Avista - EPE - Spokane,2022,Power,IOU,,,Avista Corporation,Spokane,Spokane,,2259628,,,,,,,,,,,,,,
Public Utility District No. 1 of Grays Harbor County - Aberdeen,2022,Power,COU,2211,"Electric Power Generation, Transmission and Distribution",Public Utility District No. 1 of Grays Harbor County,Aberdeen,Grays Harbor,,29078,,,,,,,,,,,,,,
PUD No 1 of Chelan County - Wenatchee,2023,Power,COU,221118,Other Electric Power Generation,PUD No 1 of Chelan County,Wenatchee,Chelan,,1407,,,,,,,,,,,,,Reporter,
Seattle City Light - Seattle,2023,Power,COU,221122,Electric Power Distribution,"The City of Seattle, City Light Department",Seattle,King,,268791,,,,,,,,,,,,194361,Covered Entity,
Shell Energy North America US LP,2022,Power,Marketer,221122,Electric Power Distribution,"Shell USA, Inc.",San Diego,San Diego,,384753,,,,,,,,,,,,,,
"The Energy Authority, Inc. - Jacksonville",2023,Power,Marketer,221122,Electric Power Distribution,"The Energy Authority, Inc.",Jacksonville,Duval,,19058,,,,,,,,,,,,,Reporter,
Public Utility No. 1 of Franklin County - Pasco,2022,Power,COU,2211,"Electric Power Generation, Transmission and Distribution",Public Utility No. 1 of Franklin County,Pasco,Franklin,,30875,,,,,,,,,,,,,,
Public Utility District No.1 of Cowlitz County,2023,Power,COU,2211,"Electric Power Generation, Transmission and Distribution",Public Utility District No.1 of Cowlitz County,Longview,Cowlitz,,88481,,,,,,,,,,,,88481,Covered Entity,
Avangrid Renewables LLC - Portland,2023,Power,Electrical Transmission and Distribution,221118,Other Electric Power Generation,"Avangrid, INC",Portland,Multnomah,,108329,,,,,,,,,,,,105755,Covered Entity,
Cheyne Landfill - Zillah,2013,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services,Zillah,Yakima,Yakima Regional Clean Air Agency,31807,0,0,31807,0,0,0,0,0,,2,"46.4785, -120.2688",,,POINT (-120.2688 46.4785)
Goodrich Corporation - Spokane,2019,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Raytheon Technologies Corp,Spokane,Spokane,Spokane Regional Clean Air Agency,52018,0,51957,26,35,0,0,0,0,,2,"47.583604, -117.568511",,,POINT (-117.568511 47.583604)
Puget Sound Energy - Ferndale Generating Station - Ferndale,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,395314,0,394913,183,218,0,0,0,0,,3,"48.828707, -122.685533",,,POINT (-122.685533 48.828707)
Kettle Falls Generating Station - Kettle Falls,2015,Power Plants,"Other Power, Heating, or Cooling Plants",221117,Biomass Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,439432,424990,2998,6582,4862,0,0,0,0,,3,"48.620335, -118.110841",,,POINT (-118.110841 48.620335)
Matheson - Anacortes,2018,Petroleum Systems,Other Petroleum Systems,325120,Industrial Gas Manufacturing,Linde Gas North America LLC,Anacortes,Skagit,Northwest Clean Air Agency,61179,0,61179,0,0,0,0,0,0,,2,"48.467646, -122.554343",,,POINT (-122.554343 48.467646)
Northwest Pipeline C/S - Goldendale,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,19062,0,16650,2403,9,0,0,0,0,,1,"45.771216, -120.799267",,,POINT (-120.799267 45.771216)
Sierra Pacific Industries - Burlington - Mount Vernon,2020,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,218424,202899,12803,395,2328,0,0,0,0,,3,"48.448553, -122.434613",,,POINT (-122.434613 48.448553)
Hampton Lumber Mills Washington Inc. - Morton,2014,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,28827,28447,0,55,325,0,0,0,0,,2,"46.565997, -122.269573",,,POINT (-122.269573 46.565997)
Port Townsend Paper Corporation - Port Townsend,2020,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Port Townsend Paper Corp.,Port Townsend,Jefferson,Ecology: Industrial Section,587700,502134,80320,2513,2733,0,0,0,0,,3,"48.093793, -122.796806",,,POINT (-122.796806 48.093793)
Keyes Fibre Corporation - Wenatchee,2016,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Tekni-Plex Wenatchee Fiber Consumer Porducts,Wenatchee,Chelan,Ecology: Central Regional Office,18426,0,18407,9,10,0,0,0,0,,1,"47.485987, -120.316363",,,POINT (-120.316363 47.485987)
Avista Corporation - WA State DOE Reporting - statewide,2018,Natural Gas Systems,Natural Gas Local Distribution Companies,221121,Electric Bulk Power Transmission and Control,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,8421,0,0,0,0,0,0,8421,0,,1,"47.673486, -117.388514",,,POINT (-117.388514 47.673486)
"Rainier Veneer, Inc. - Spanaway",2020,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,15835,12800,2861,26,148,0,0,0,0,,1,"47.062059, -122.318981",,,POINT (-122.318981 47.062059)
Kiva United Energy - San Joaquin,2022,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Kiva United Energy,Manteca,San Joaquin,,59838,0,59598,71,169,0,0,0,0,,,,,,
Darigold - Lynden,2018,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,17919,0,17901,9,10,0,0,0,0,,1,"48.947567, -122.451915",,,POINT (-122.451915 48.947567)
Hidden Valley Landfill - Puyallup,2021,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections US Inc.,Puyallup,Pierce,Puget Sound Clean Air Agency,5080,0,0,5080,0,0,0,0,0,Voluntary reporter.,1,"47.095, -122.2878",,,POINT (-122.2878 47.095)
Northwest Pipeline Willard C/S - Cook,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,9287,0,7707,1575,4,0,0,0,0,,1,"45.778087, -121.626311",,,POINT (-121.626311 45.778087)
Darigold - Chehalis,2018,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Chehalis,Lewis,Southwest Clean Air Agency,12871,0,12857,6,7,0,0,0,0,,1,"46.659952, -122.970162",,,POINT (-122.970162 46.659952)
Georgia-Pacific Consumer Operations LLC - Camas,2013,Pulp and Paper,Kraft Mills,322120,Paper Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,675348,535823,129412,8093,2020,0,0,0,0,Assigned Emissions Level,3,"45.584271, -122.40843",,,POINT (-122.40843 45.584271)
"Interfor US, Inc. - Port Angeles",2018,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,35595,35126,0,68,402,0,0,0,0,,2,"48.103425, -123.518642",,,POINT (-123.518642 48.103425)
Lamb Weston - Warden,2022,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Warden,Grant,Ecology: Eastern Regional Office,15390,0,15374,7,9,0,0,0,0,,1,"46.971504, -119.055427",,,POINT (-119.055427 46.971504)
Tree Top - Selah Campus,2021,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,15073,0,15058,7,8,0,0,0,0,,1,"46.64992, -120.52755",,,POINT (-120.52755 46.64992)
Fairchild AFB - Spokane Co.,2019,Government,National Security,928110,National Security,US Government,Fairchild Air Force Base,Spokane,Spokane Regional Clean Air Agency,13366,0,13352,6,7,0,0,0,0,,1,"47.641332, -117.644832",,,POINT (-117.644832 47.641332)
McKinley Paper Co. - Washington Mill - Port Angeles,2021,Pulp and Paper,Other Pulp and Paper,322121,Paper (except Newsprint) Mills,McKinley Paper Co.,Port Angeles,Clallam,Olympic Region Clean Air Agency,160996,154551,525,4152,1769,0,0,0,0,,3,"48.134623, -123.467524",,,POINT (-123.467524 48.134623)
"Solvay Chemicals, Inc. - Longview",2019,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,56448,0,56448,0,0,0,0,0,0,,2,"46.137218, -122.982847",,,POINT (-122.982847 46.137218)
Lamb Weston - Pasco,2021,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,40297,0,40255,19,23,0,0,0,0,,2,"46.288137, -119.115336",,,POINT (-119.115336 46.288137)
ExxonMobil Oil Corporation,2022,Supplier,Other Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,ExxonMobil Oil Corporation,Houston,Harris,,1243182,61026,1164698,1434,16025,0,0,0,0,,,,,,
Wilson Oil Inc,2022,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Wilson Oil Inc,Longview,Cowlitz,,469691,20260,444019,452,4960,0,0,0,0,,,,,,
Alon Asphalt Company - Seattle,2014,Petroleum Systems,Other Petroleum Systems,424710,Petroleum Bulk Stations and Terminals,Delek US Holdings Inc.,Seattle,King,Puget Sound Clean Air Agency,16004,0,15976,19,9,0,0,0,0,,1,"47.781642, -122.395299",,,POINT (-122.395299 47.781642)
NW Natural - supplier,2019,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,,Portland,Multnomah,,499057,0,498545,234,279,0,0,0,0,,,,,,
NGL Energy Partners LP,2022,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),NGL Energy Partners LP,Tulsa,Tulsa,,200597,0,199792,238,567,0,0,0,0,,,,,,
Puget Sound Energy - Jackson Prairie Gas Storage - Chehalis,2020,Natural Gas Systems,Natural Gas Storage,486210,Pipeline Transportation of Natural Gas,Puget Holdings LLC,Chehalis,Lewis,Southwest Clean Air Agency,12311,0,9744,2562,5,0,0,0,0,,1,"46.53461, -122.838569",,,POINT (-122.838569 46.53461)
Xpress Natural Gas: SATSOP,2023,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,Xpress Natural Gas,Elma,Grays Harbor,,45474,0,45427,22,26,0,0,0,0,,,,,Reporter,
Inland Empire Paper Company - Spokane,2021,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,34507,17701,16553,42,212,0,0,0,0,,2,"47.688295, -117.279323",,,POINT (-117.279323 47.688295)
Sierra Pacific Industries - Aberdeen,2017,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,246387,242554,593,466,2774,0,0,0,0,,3,"46.971875, -123.775526",,,POINT (-123.775526 46.971875)
Naval Base Kitsap Bangor - Silverdale,2014,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,20940,0,20915,10,14,0,0,0,0,,1,"47.699284, -122.696926",,,POINT (-122.696926 47.699284)
University of Washington Seattle Campus - Seattle,2019,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,92272,0,92177,44,52,0,0,0,0,,2,"47.653614, -122.303608",,,POINT (-122.303608 47.653614)
"Emerald City Renewables, LLC- Graham",2021,Power Plants,"Other Power, Heating, or Cooling Plants",221117,Biomass Electric Power Generation,Emerald City Renewables LLC,Graham,Pierce,Puget Sound Clean Air Agency,15900,15819,0,24,57,0,0,0,0,,1,"46.975533, -122.290871",,,POINT (-122.290871 46.975533)
Weyerhaeuser Raymond Lumber - Raymond,2014,Wood Products,Lumber Mills,321113,Sawmills,Weyerhaeuser Co.,Raymond,Pacific,Olympic Region Clean Air Agency,41976,41423,0,80,474,0,0,0,0,,2,"46.688088, -123.737495",,,POINT (-123.737495 46.688088)
Puget Sound Energy - Goldendale Generating Station - Goldendale,2021,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Goldendale,Klickitat,Ecology: Central Regional Office,745016,0,744259,345,411,0,0,0,0,,3,"45.8114, -120.833",,,POINT (-120.833 45.8114)
SDS Lumber Company - Bingen,2012,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,89927,87886,119,750,1173,0,0,0,0,,2,"45.713913, -121.468688",,,POINT (-121.468688 45.713913)
Northwest Pipeline C/S - Snohomish,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,51798,0,51068,701,29,0,0,0,0,,2,"47.78825, -122.05859",,,POINT (-122.05859 47.78825)
Hidden Valley Landfill - Puyallup,2020,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections US Inc.,Puyallup,Pierce,Puget Sound Clean Air Agency,4956,0,0,4956,0,0,0,0,0,Voluntary reporter.,1,"47.095, -122.2878",,,POINT (-122.2878 47.095)
Northwest Pipeline C/S - Goldendale,2012,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,26752,0,21905,4835,12,0,0,0,0,,2,"45.771216, -120.799267",,,POINT (-120.799267 45.771216)
WestRock LLC - Longview,2018,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Longview,Cowlitz,Ecology: Industrial Section,1551719,1393499,151529,1301,5391,0,0,0,0,,4,"46.10361, -122.92167",,,POINT (-122.92167 46.10361)
Western Washington University - Bellingham,2016,Government,Education,611310,"Colleges, Universities, and Professional Schools",Western Washington University,Bellingham,Whatcom,Northwest Clean Air Agency,9918,0,9908,5,6,0,0,0,0,,1,"48.736499, -122.484714",,,POINT (-122.484714 48.736499)
Goodrich Corporation - Spokane,2020,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Raytheon Technologies Corp,Spokane,Spokane,Spokane Regional Clean Air Agency,26209,0,26178,13,18,0,0,0,0,,2,"47.583604, -117.568511",,,POINT (-117.568511 47.583604)
Tree Top - Wenatchee,2016,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Wenatchee,Chelan,Ecology: Central Regional Office,8449,0,8440,4,5,0,0,0,0,,1,"47.48938, -120.31426",,,POINT (-120.31426 47.48938)
Frito Lay - Vancouver,2020,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,13787,0,13773,7,8,0,0,0,0,,1,"45.657037, -122.692",,,POINT (-122.692 45.657037)
Cardinal FG Company - Winlock,2012,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,92356,0,92289,31,36,0,0,0,0,,2,"46.544937, -122.926313",,,POINT (-122.926313 46.544937)
Steelscape - Kalama,2014,Metals,Other Metals,331221,Rolled Steel Shape Manufacturing,NS BlueScope USA LLC,Kalama,Cowlitz,Southwest Clean Air Agency,22435,0,22412,11,13,0,0,0,0,,1,"46.04326, -122.871703",,,POINT (-122.871703 46.04326)
Cowlitz County Headquarters Landfill - Castle Rock,2023,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,332807,15159,0,317594,55,0,0,0,0,Emissions under review.,3,"46.246902, -122.772284",,Reporter,POINT (-122.772284 46.246902)
Grant County Landfill 1 - Ephrata,2017,Waste,Landfills,562212,Solid Waste Landfill,Grant County Washington,Ephrata,Grant,Ecology: Eastern Regional Office,44881,0,0,44881,0,0,0,0,0,,2,"47.270759, -119.573764",,,POINT (-119.573764 47.270759)
Eastern Washington University,2022,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Cheney,Spokane,Spokane Regional Clean Air Agency,13884,0,13870,7,8,0,0,0,0,,1,"47.490091, -117.579702",,,POINT (-117.579702 47.490091)
King County Solid Waste Cedar Hills Landfill - Maple Valley,2022,Waste,Landfills,562212,Solid Waste Landfill,King County Solid Waste Division,Maple Valley,King,Puget Sound Clean Air Agency,246269,12935,248,233039,47,0,0,0,0,Emissions under review.,3,"47.462625, -122.046025",,,POINT (-122.046025 47.462625)
U.S. Oil & Refining Co. - Tacoma,2015,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,139259,0,137379,1425,455,0,0,0,0,,3,"47.256813, -122.394952",,,POINT (-122.394952 47.256813)
REC Solar Grade Silicon - Moses Lake,2020,Metals,Other Metals,331410,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,0,0,0,0,0,0,0,0,0,Curtailed in mid 2019. No emissions in 2020.,1,"47.138359, -119.200383",,,POINT (-119.200383 47.138359)
DH Feeders - Eltopia,2023,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,15999,0,1333,1150,13516,0,0,0,0,Voluntary reporter.  Manure management reporting repealed by Legislature.,1,"46.50919, -118.881203",,Reporter,POINT (-118.881203 46.50919)
Ponderay Industries - Usk,2020,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Ponderay Industries,Usk,Pend Oreille,Ecology: Eastern Regional Office,27486,24043,3109,50,284,0,0,0,0,Facility closed June 2020.,2,"48.289771, -117.271359",,,POINT (-117.271359 48.289771)
Cowlitz County Tennant Way Landfill - Longview,2012,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County Washington,Longview,Cowlitz,Southwest Clean Air Agency,18322,0,0,18322,0,0,0,0,0,,1,"46.107229, -122.905601",,,POINT (-122.905601 46.107229)
Puget Sound Energy - Frederickson Generating Station - Tacoma,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,34538,0,34504,16,18,0,0,0,0,,2,"47.079716, -122.364711",,,POINT (-122.364711 47.079716)
Georgia-Pacific Gypsum LLC - Tacoma,2022,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,49915,0,49864,24,28,0,0,0,0,,2,"47.269558, -122.394869",,,POINT (-122.394869 47.269558)
Tree Top - Selah Campus,2016,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,18185,0,18166,9,10,0,0,0,0,,1,"46.64992, -120.52755",,,POINT (-120.52755 46.64992)
Imerys Minerals Quincy Plant - Quincy,2012,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,22288,0,22265,11,13,0,0,0,0,,1,"47.239948, -119.838831",,,POINT (-119.838831 47.239948)
Milne Fruit Products - Prosser,2017,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Milne Fruit Products,Prosser,Benton,Benton Clean Air Agency,12335,0,12322,6,7,0,0,0,0,First year reporting.,1,"46.202562, -119.775527",,,POINT (-119.775527 46.202562)
Pasco Processing LLC - Pasco,2018,Food Production,Other Food Products,311991,Perishable Prepared Food Manufacturing,Oregon Potato Co.,Pasco,Franklin,Ecology: Eastern Regional Office,11501,0,11489,6,7,0,0,0,0,,1,"46.28274, -119.097528",,,POINT (-119.097528 46.28274)
Lamb Weston - Connell,2020,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,28419,0,28390,14,16,0,0,0,0,,2,"46.651389, -118.871944",,,POINT (-118.871944 46.651389)
Northwest Hardwoods Inc. - Mount Vernon,2014,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,12739,8800,3818,19,103,0,0,0,0,,1,"48.451642, -122.443028",,,POINT (-122.443028 48.451642)
Sierra Pacific Industries - Aberdeen,2012,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,241205,234002,2083,1997,3124,0,0,0,0,,3,"46.971875, -123.775526",,,POINT (-123.775526 46.971875)
Naval Base Kitsap Bangor - Silverdale,2019,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,19707,0,19685,10,13,0,0,0,0,,1,"47.699284, -122.696926",,,POINT (-122.696926 47.699284)
Great Western Malt - Vancouver,2015,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,18273,0,18255,9,10,0,0,0,0,,1,"45.631069, -122.690043",,,POINT (-122.690043 45.631069)
Inland Empire Paper Company - Spokane,2023,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,32249,15753,16269,38,190,0,0,0,0,,2,"47.688295, -117.279323",,Reporter,POINT (-117.279323 47.688295)
Ash Grove Cement Company - Seattle,2012,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,305595,0,305011,227,357,0,0,0,0,,3,"47.56799, -122.34255",,,POINT (-122.34255 47.56799)
Steelscape - Kalama,2019,Metals,Other Metals,331221,Rolled Steel Shape Manufacturing,NS BlueScope USA LLC,Kalama,Cowlitz,Southwest Clean Air Agency,22577,0,22553,11,13,0,0,0,0,,1,"46.04326, -122.871703",,,POINT (-122.871703 46.04326)
"El Oro Cattle Feeders, LLC - Moses Lake",2017,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Agri Beef Co.,Moses Lake,Grant,Ecology: Eastern Regional Office,26281,0,0,2038,24243,0,0,0,0,,2,"47.052176, -119.093815",,,POINT (-119.093815 47.052176)
Jackson Food Stores - Meridian,2023,Supplier,Other Fuel Supplier,457110,Gasoline Stations with Convenience Stores,Jacksons Food Stores Inc,Meridian,Ada,,23136,1501,21254,31,349,0,0,0,0,,,,21634,Covered Entity,
Starbucks Kent Flexible Plant - Kent,2021,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,12492,0,12479,6,7,0,0,0,0,,1,"47.436276, -122.237648",,,POINT (-122.237648 47.436276)
J.R. Simplot Company - Moses Lake,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,45202,4514,30358,10296,33,0,0,0,0,,2,"47.131732, -119.18926",,,POINT (-119.18926 47.131732)
Northwest Pipeline C/S - Mount Vernon,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,56715,0,54226,2459,30,0,0,0,0,,2,"48.421967, -122.21547",,,POINT (-122.21547 48.421967)
The Boeing Company - Auburn Site - Auburn,2023,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,33303,0,33269,16,19,0,0,0,0,,2,"47.285551, -122.242298",33130,Covered Entity,POINT (-122.242298 47.285551)
U.S. Department of Energy Hanford Site - Richland,2018,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,13525,0,4171,9333,6,0,0,16,0,,1,"46.55069, -119.489007",,,POINT (-119.489007 46.55069)
Cardinal FG Company - Winlock,2017,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,107559,0,107482,35,42,0,0,0,0,,3,"46.544937, -122.926313",,,POINT (-122.926313 46.544937)
"Vaagen Bros. Lumber, Inc. - Colville",2023,Wood Products,Lumber Mills,321999,All Other Miscellaneous Wood Product Manufacturing,Vaagen Bros. Lumber Inc.,Colville,Stevens,Ecology: Eastern Regional Office,33518,33076,0,64,378,0,0,0,0,,2,"48.548525, -117.915469",,Reporter,POINT (-117.915469 48.548525)
Nutrien US LLC. - Kennewick,2016,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,151151,0,9491,1,141660,0,0,0,0,,3,"46.165957, -119.017218",,,POINT (-119.017218 46.165957)
"Solvay Chemicals, Inc. - Longview",2021,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,58272,0,58272,0,0,0,0,0,0,,2,"46.137218, -122.982847",,,POINT (-122.982847 46.137218)
Cascade Hardwood LLC - Chehalis,2022,Wood Products,Lumber Mills,321113,Sawmills,Cascade Hardwood LLC,Chehalis,Lewis,Southwest Clean Air Agency,8998,8872,7,17,102,0,0,0,0,,1,"46.635062, -122.930338",,,POINT (-122.930338 46.635062)
Northwest Pipeline C/S - Chehalis,2022,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,19805,0,17908,1887,10,0,0,0,0,,1,"46.533325, -122.87373",,,POINT (-122.87373 46.533325)
"NorthStar Energy, LLC - Seattle",2022,Supplier,Other Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,"Saltchuk Holdings, Inc.",Seattle,King,,44818,685,43893,27,213,0,0,0,0,,,,,,
H.W. Hill Landfill Gas Power Plant - Roosevelt,2018,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Public Utility District No. 1 of Klickitat County,Roosevelt,Klickitat,Ecology: Central Regional Office,42846,42400,229,65,153,0,0,0,0,,2,"45.807765, -120.166354",,,POINT (-120.166354 45.807765)
